"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
11003,Rural History-Economy Society Culture,0956-7933,111,0.500,0.393,0.000300
11003,SALUD MENTAL,0185-3325,485,0.500,0.523,0.000320
11003,SOCIOLOGIA,0049-1225,101,0.500,0.391,0.000070
11003,Scientia Forestalis,1413-9324,576,0.500,0.630,0.000650
11003,Seminars in Orthodontics,1073-8746,649,0.500,Not Available,0.000460
11003,Social Science Japan Journal,1369-1465,102,0.500,0.447,0.000100
11003,TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,0372-1426,414,0.500,0.538,0.000110
11044,APPLIED ENGINEERING IN AGRICULTURE,0883-8542,"1,796",0.497,0.698,0.001040
11044,CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,0008-4395,965,0.497,0.482,0.002600
11044,FOLIA MORPHOLOGICA,0015-5659,691,0.497,0.557,0.000730
11047,RUSSIAN JOURNAL OF APPLIED CHEMISTRY,1070-4272,"2,179",0.494,0.427,0.001570
11048,ESAIM-Probability and Statistics,1292-8100,284,0.493,0.658,0.001590
11048,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,0374-4884,"3,822",0.493,0.401,0.004390
11048,MIKROBIYOLOJI BULTENI,0374-9096,427,0.493,0.546,0.000480
11048,Madera y Bosques,1405-0471,233,0.493,0.626,0.000210
11048,TECHNOLOGY AND CULTURE,0040-165X,710,0.493,0.608,0.000820
11048,TECHNOLOGY AND CULTURE,0040-165X,710,0.493,0.608,0.000820
11054,SEMIGROUP FORUM,0037-1912,920,0.492,0.544,0.002820
11055,Journal of Psychology in Africa,1433-0237,382,0.491,0.501,0.000490
11055,Journal of Social Philosophy,0047-2786,432,0.491,0.717,0.000380
11055,Media International Australia,1329-878X,398,0.491,0.650,0.000750
11055,OSAKA JOURNAL OF MATHEMATICS,0030-6126,972,0.491,0.539,0.002000
11059,JOURNAL OF INORGANIC MATERIALS,1000-324X,937,0.490,0.449,0.000970
11059,MECHANICS OF COMPOSITE MATERIALS,0191-5665,"1,257",0.490,0.720,0.000630
11061,BMGN-The Low Countries Historical Review,0165-0505,131,0.489,0.346,0.000190
11061,CEREAL RESEARCH COMMUNICATIONS,0133-3720,674,0.489,0.506,0.000440
11061,Computer Assisted Surgery,2469-9322,26,0.489,0.489,0.000050
11061,Journal of Integral Equations and Applications,0897-3962,356,0.489,1.193,0.000950
11061,TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,1300-0128,"1,134",0.489,0.587,0.001090
11061,University of Pennsylvania Journal of International Law,1938-0283,107,0.489,0.555,0.000360
11067,Canadian Journal of School Psychology,0829-5735,325,0.488,Not Available,0.000570
11067,Critical Care Nursing Clinics of North America,0899-5885,337,0.488,0.584,0.000370
11067,Critical Care Nursing Clinics of North America,0899-5885,337,0.488,0.584,0.000370
11067,FOREST PRODUCTS JOURNAL,0015-7473,"2,065",0.488,0.792,0.000770
11067,Research and Theory for Nursing Practice,1541-6577,308,0.488,0.692,0.000200
11067,Research and Theory for Nursing Practice,1541-6577,308,0.488,0.692,0.000200
11067,SWISS JOURNAL OF PSYCHOLOGY,1421-0185,363,0.488,0.739,0.000320
11067,Ukrainian Journal of Physical Optics,1609-1833,114,0.488,0.561,0.000150
11075,COMPUTATIONAL COMPLEXITY,1016-3328,460,0.487,0.905,0.001030
11075,Engineering Management Journal,1042-9247,387,0.487,0.771,0.000080
11075,Engineering Management Journal,1042-9247,387,0.487,0.771,0.000080
11075,JNP-Journal for Nurse Practitioners,1555-4155,364,0.487,0.532,0.000710
11075,JNP-Journal for Nurse Practitioners,1555-4155,364,0.487,0.532,0.000710
11075,Lithuanian Mathematical Journal,0363-1672,245,0.487,0.467,0.000850
11081,CORNELL INTERNATIONAL LAW JOURNAL,0010-8812,282,0.486,0.729,0.000290
11081,Environment Protection Engineering,0324-8828,412,0.486,0.822,0.000440
11081,GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,0017-4947,63,0.486,0.341,0.000080
11081,Journal of Quantitative Linguistics,0929-6174,232,0.486,0.685,0.000170
11081,MECHANICAL ENGINEERING,0025-6501,"1,075",0.486,0.507,0.000380
11081,Mitochondrial DNA Part B-Resources,2380-2359,276,0.486,0.486,0.000480
11081,Pigment & Resin Technology,0369-9420,455,0.486,0.708,0.000290
11081,Stochastics and Dynamics,0219-4937,429,0.486,0.738,0.001120
11089,CENTRAL EUROPEAN HISTORY,0008-9389,209,0.485,0.471,0.000500
11089,Journal of International Trade & Economic Development,0963-8199,365,0.485,0.615,0.000390
11089,Journal of Risk Model Validation,1753-9579,77,0.485,0.429,0.000110
11092,BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,0006-2294,238,0.484,0.405,0.000200
11092,JOURNAL OF NIPPON MEDICAL SCHOOL,1345-4676,545,0.484,0.647,0.000680
11092,Open Medicine,2391-5463,92,0.484,0.484,0.000190
11095,Brazilian Journal of Pharmaceutical Sciences,1984-8250,707,0.483,0.910,0.001010
11095,International Journal of Aeronautical and Space Sciences,2093-274X,253,0.483,0.685,0.000580
11095,Wilson Journal of Ornithology,1559-4491,803,0.483,0.642,0.001530
11098,Asian Perspective,0258-9184,205,0.482,0.523,0.000270
11098,BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,0004-9727,"1,496",0.482,0.519,0.002860
11098,Georgian Mathematical Journal,1072-947X,390,0.482,0.512,0.000680
11098,Latin American Journal of Aquatic Research,0718-560X,549,0.482,0.738,0.001410
11098,SENSORS AND MATERIALS,0914-4935,408,0.482,0.529,0.000640
11098,Turkish Journal of Fisheries and Aquatic Sciences,1303-2712,799,0.482,0.764,0.001270
11104,ACTA MATHEMATICA HUNGARICA,0236-5294,"1,439",0.481,0.584,0.002550
11104,ANTHROPOLOGIE,0003-5521,722,0.481,0.739,0.000440
11104,COMMUNICATIONS IN ALGEBRA,0092-7872,"3,853",0.481,0.542,0.008710
11104,CYTOLOGIA,0011-4545,"1,051",0.481,0.498,0.000180
11104,Diachronica,0176-4225,183,0.481,0.675,0.000280
11104,GRAPHS AND COMBINATORICS,0911-0119,"1,023",0.481,0.599,0.004880
11104,Risk Management-Journal of Risk Crisis and Disaster,1460-3799,131,0.481,0.591,0.000150
11104,SCOTTISH MEDICAL JOURNAL,0036-9330,574,0.481,0.592,0.000560
11112,Discrete Optimization,1572-5286,483,0.480,0.787,0.001260
11112,PHONETICA,0031-8388,704,0.480,0.742,0.000310
11112,PHONETICA,0031-8388,704,0.480,0.742,0.000310
11112,SCIENCE & SOCIETY,0036-8237,363,0.480,0.720,0.000380
11116,GEOLOGICAL SURVEY OF DENMARK AND GREENLAND BULLETIN,1604-8156,209,0.479,0.670,0.000310
11116,Journal of Experimental Psychopathology,2043-8087,284,0.479,Not Available,0.000950
11116,Nephrologie & Therapeutique,1769-7255,277,0.479,0.429,0.000390
11119,Asia-Pacific Journal of Accounting & Economics,1608-1625,131,0.478,0.354,0.000130
11119,Kyushu Journal of Mathematics,1340-6116,163,0.478,0.520,0.000810
11119,RAIRO-OPERATIONS RESEARCH,0399-0559,317,0.478,0.562,0.000410
11122,Bauingenieur,0005-6650,259,0.477,0.373,0.000550
11122,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,0027-9684,"2,582",0.477,0.839,0.000680
11124,ACTA ARITHMETICA,0065-1036,"1,691",0.476,0.541,0.005070
11124,Analysis Mathematica,0133-3852,206,0.476,0.475,0.000360
11124,CANDOLLEA,0373-2967,380,0.476,0.457,0.000300
11124,DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,1468-9367,388,0.476,0.528,0.000820
11124,INFORMACIJE MIDEM-JOURNAL OF MICROELECTRONICS ELECTRONIC COMPONENTS AND MATERIALS,0352-9045,111,0.476,0.467,0.000180
11124,JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,0144-0322,363,0.476,0.448,0.000170
11124,Methods in Microbiology,0580-9517,852,0.476,1.043,0.000180
11124,Review of Central and East European Law,0925-9880,63,0.476,0.492,0.000070
11124,tm-Technisches Messen,0171-8096,237,0.476,0.324,0.000160
11133,IEICE Electronics Express,1349-2543,"1,051",0.475,0.427,0.001580
11133,J-FOR-Journal of Science & Technology for Forest Products and Processes,1927-6311,339,0.475,0.708,0.000320
11133,Notes and Records-The Royal Society Journal of the History of Science,0035-9149,286,0.475,0.537,0.000530
11133,Revista Brasileira de Fruticultura,0100-2945,"1,636",0.475,0.736,0.001300
11133,SOCIETY & ANIMALS,1063-1119,645,0.475,0.909,0.000580
11133,SOCIETY & ANIMALS,1063-1119,645,0.475,0.909,0.000580
11133,Scientia Iranica,1026-3098,"2,020",0.475,1.066,0.003430
11133,VIE ET MILIEU-LIFE AND ENVIRONMENT,0240-8759,496,0.475,0.522,0.000200
11141,Indian Journal of Hematology and Blood Transfusion,0971-4502,341,0.474,0.500,0.000670
11141,LIBRARY TRENDS,0024-2594,762,0.474,0.542,0.000270
11143,Convergencia-Revista de Ciencias Sociales,2448-5799,162,0.473,0.412,0.000100
11143,Filosofija-Sociologija,0235-7186,84,0.473,0.291,0.000210
11143,GLASS AND CERAMICS,0361-7610,667,0.473,0.418,0.000350
11143,NOVON,1055-3177,573,0.473,0.465,0.000470
11143,SOCIAL HISTORY OF MEDICINE,0951-631X,440,0.473,0.654,0.000970
11143,SOCIAL HISTORY OF MEDICINE,0951-631X,440,0.473,0.654,0.000970
11149,Communication and Critical-Cultural Studies,1479-1420,288,0.472,0.735,0.000530
11149,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,1019-3316,314,0.472,0.470,0.000330
11149,PROGRESS IN COMPUTATIONAL FLUID DYNAMICS,1468-4349,415,0.472,0.952,0.000720
11152,JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,0253-3839,581,0.471,0.440,0.000510
11152,Revista Iberoamericana de Automatica e Informatica Industrial,1697-7912,180,0.471,0.495,0.000220
11154,JOURNAL OF MATHEMATICAL ECONOMICS,0304-4068,"1,312",0.470,0.595,0.003310
11154,JOURNAL OF MATHEMATICAL ECONOMICS,0304-4068,"1,312",0.470,0.595,0.003310
11156,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,1053-5381,547,0.469,0.653,0.000620
11156,INTERNATIONAL REVIEW OF SOCIAL HISTORY,0020-8590,398,0.469,0.718,0.000620
11156,Maejo International Journal of Science and Technology,1905-7873,183,0.469,0.546,0.000270
11156,Pacific Journal of Optimization,1348-9151,359,0.469,0.515,0.001330
11156,Topics in Companion Animal Medicine,1938-9736,287,0.469,1.103,0.000670
11161,Cement Wapno Beton,1425-8129,204,0.468,0.563,0.000200
11162,Czech Journal of Genetics and Plant Breeding,1212-1975,243,0.467,0.581,0.000250
11162,Ethik in der Medizin,0935-7335,93,0.467,0.500,0.000110
11162,FOLIA ZOOLOGICA,0139-7893,664,0.467,0.674,0.000530
11165,CHEMICAL & ENGINEERING NEWS,0009-2347,"1,234",0.466,0.242,0.001470
11165,International Arab Journal of Information Technology,1683-3198,524,0.466,0.662,0.000340
11165,Journal of Balkan and Near Eastern Studies,1944-8953,160,0.466,0.662,0.000340
11165,Oral Radiology,0911-6028,153,0.466,0.576,0.000220
11165,TOPICS IN CLINICAL NUTRITION,0883-5691,199,0.466,Not Available,0.000190
11170,ARCHIVOS ESPANOLES DE UROLOGIA,0004-0614,509,0.465,0.323,0.000480
11170,STATISTICA NEERLANDICA,0039-0402,694,0.465,0.974,0.001090
11172,APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,0938-1279,331,0.464,0.532,0.000620
11173,Acta Paulista de Enfermagem,0103-2100,689,0.463,0.714,0.000670
11173,Acta Paulista de Enfermagem,0103-2100,689,0.463,0.714,0.000670
11173,Brazilian Journal of Poultry Science,1516-635X,641,0.463,0.641,0.000740
11173,DISSENT,0012-3846,283,0.463,0.505,0.000650
11173,JOURNAL OF SOUTHEAST ASIAN STUDIES,0022-4634,365,0.463,0.577,0.000310
11173,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,0717-9707,855,0.463,0.672,0.000900
11173,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,0024-0966,463,0.463,0.492,0.000400
11173,MAIN GROUP CHEMISTRY,1024-1221,210,0.463,0.503,0.000130
11173,PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,0342-183X,142,0.463,0.542,0.000270
11173,SPORTVERLETZUNG-SPORTSCHADEN,0932-0555,211,0.463,0.491,0.000120
11183,ENTOMOLOGICAL RESEARCH,1738-2297,293,0.462,0.442,0.000300
11183,HEMOGLOBIN,0363-0269,934,0.462,0.693,0.001060
11183,Journal of Homotopy and Related Structures,2193-8407,102,0.462,0.433,0.000760
11183,Reviews in Cardiovascular Medicine,1530-6550,281,0.462,0.634,0.000320
11183,Romanian Journal of Political Science,1582-456X,42,0.462,0.421,0.000060
11183,SOUTHWESTERN ENTOMOLOGIST,0147-1724,550,0.462,0.519,0.000600
11189,AI COMMUNICATIONS,0921-7126,399,0.461,0.606,0.000750
11189,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,357,0.461,0.604,0.000450
11189,PMM JOURNAL OF APPLIED MATHEMATICS AND MECHANICS,0021-8928,"1,842",0.461,0.517,0.000970
11189,POLYMERS & POLYMER COMPOSITES,0967-3911,512,0.461,0.538,0.000630
11189,TOPICS IN GERIATRIC REHABILITATION,0882-7524,290,0.461,0.414,0.000270
11189,University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,1223-7027,357,0.461,0.521,0.000630
11195,ANTI-CORROSION METHODS AND MATERIALS,0003-5599,491,0.460,0.545,0.000280
11195,LC GC NORTH AMERICA,1527-5949,501,0.460,0.328,0.000450
11197,JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,0933-4173,655,0.459,0.539,0.000460
11197,Journal of Business-to-Business Marketing,1051-712X,280,0.459,0.987,0.000200
11197,Journal of Korean Academy of Nursing,2005-3673,616,0.459,0.625,0.000770
11197,Journal of Korean Academy of Nursing,2005-3673,616,0.459,0.625,0.000770
11201,BUFFALO LAW REVIEW,0023-9356,282,0.458,0.424,0.000290
11201,ESA BULLETIN-EUROPEAN SPACE AGENCY,0376-4265,335,0.458,0.393,0.000240
11201,International Journal of Maritime Engineering,1479-8751,101,0.458,0.521,0.000220
11201,JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,0218-2165,942,0.458,0.562,0.003190
11201,Journal of Moral Philosophy,1740-4681,155,0.458,0.604,0.000430
11201,LIBRARY JOURNAL,0363-0277,437,0.458,0.430,0.000340
11201,RECORDS OF THE AUSTRALIAN MUSEUM,0067-1975,655,0.458,0.511,0.000110
11201,Romanian Agricultural Research,1222-4227,153,0.458,0.434,0.000160
11201,SOCIAL BEHAVIOR AND PERSONALITY,0301-2212,"2,039",0.458,0.687,0.001670
11201,THEORY OF COMPUTING SYSTEMS,1432-4350,594,0.458,0.568,0.001870
11211,ELECTROMAGNETICS,0272-6343,509,0.457,0.513,0.000430
11211,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0001-4338,907,0.457,0.604,0.000960
11211,Porta Linguarum,1697-7467,185,0.457,0.559,0.000160
11211,TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY,0002-8320,633,0.457,0.375,0.000040
11215,ENTOMOLOGICAL NEWS,0013-872X,727,0.456,0.457,0.000310
11215,History of the Family,1081-602X,250,0.456,0.470,0.000370
11215,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,0021-4027,241,0.456,0.428,0.000370
11215,Promet-Traffic & Transportation,0353-5320,249,0.456,0.569,0.000350
11215,REVISTA MEDICA DE CHILE,0034-9887,"1,555",0.456,0.537,0.001460
11220,Annals of Functional Analysis,2008-8752,186,0.455,0.539,0.001070
11220,Ingenieria e Investigacion,0120-5609,162,0.455,0.415,0.000170
11220,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,0022-0930,349,0.455,0.385,0.000240
11220,JOURNAL OF THE HISTORY OF SEXUALITY,1043-4070,294,0.455,0.424,0.000150
11220,PHYTOPROTECTION,0031-9511,129,0.455,0.348,0.000040
11220,STUDIES IN AMERICAN POLITICAL DEVELOPMENT,0898-588X,203,0.455,0.551,0.000300
11220,Translator,1355-6509,377,0.455,1.026,0.000330
11220,Zbornik Radova Ekonomskog Fakulteta u Rijeci-Proceedings of Rijeka Faculty of Economics,1331-8004,89,0.455,0.514,0.000030
11228,NeuroQuantology,1303-5150,276,0.453,0.456,0.000220
11229,AMERICAS,0003-1615,301,0.452,0.585,0.000190
11229,Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,1224-1784,207,0.452,0.512,0.000700
11229,Early Science and Medicine,1383-7427,197,0.452,0.542,0.000350
11229,JAAPA-Journal of the American Academy of Physician Assistants,1547-1896,321,0.452,Not Available,0.000700
11229,JOURNAL OF REPRODUCTIVE MEDICINE,0024-7758,"2,776",0.452,0.667,0.001390
11229,Journal of Trauma Nursing,1078-7496,272,0.452,Not Available,0.000530
11229,Journal of Trauma Nursing,1078-7496,272,0.452,Not Available,0.000530
11229,Kafkas Universitesi Veteriner Fakultesi Dergisi,1300-6045,730,0.452,0.465,0.001070
11229,SCANDINAVIAN POLITICAL STUDIES,0080-6757,730,0.452,1.052,0.000690
11238,Kodai Mathematical Journal,0386-5991,400,0.451,0.462,0.001120
11239,Asia Pacific Law Review,1019-2557,39,0.450,0.322,0.000060
11239,CHEMISTRY OF NATURAL COMPOUNDS,0009-3130,"2,791",0.450,0.508,0.002240
11239,Materials Science-Medziagotyra,1392-1320,574,0.450,0.563,0.000600
11239,Studia Logica,0039-3215,753,0.450,0.600,0.001180
11243,GEOLOGIA CROATICA,1330-030X,283,0.449,0.649,0.000280
11243,LOGIC JOURNAL OF THE IGPL,1367-0751,346,0.449,0.446,0.000800
11245,Acta Scientiarum Polonorum-Hortorum Cultus,1644-0692,383,0.448,0.534,0.000690
11245,BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,0108-0288,594,0.448,0.514,0.000210
11245,FORESTRY CHRONICLE,0015-7546,"1,212",0.448,0.664,0.000720
11245,Zeitschrift fur Gesundheitspsychologie,0943-8149,109,0.448,0.456,0.000140
11249,JOURNAL OF SCHOLARLY PUBLISHING,1198-9742,89,0.447,0.414,0.000110
11249,Journal of Hematopathology,1868-9256,111,0.447,Not Available,0.000180
11249,SCIENCEASIA,1513-1874,536,0.447,0.625,0.000590
11249,Theory and Applications of Categories,1201-561X,340,0.447,0.578,0.001420
11253,IRANIAN JOURNAL OF FISHERIES SCIENCES,1562-2916,406,0.446,0.654,0.000640
11253,MAMMAL STUDY,1343-4152,250,0.446,0.527,0.000350
11253,Russian Journal of Non-Ferrous Metals,1067-8212,304,0.446,0.360,0.000590
11256,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,8750-7315,"1,428",0.445,0.599,0.000900
11257,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,530,0.444,0.500,0.000570
11257,ACM Transactions on Privacy and Security,2471-2566,8,0.444,0.444,0.000000
11257,Asian Economic Journal,1351-3958,255,0.444,0.710,0.000280
11257,Australian Journal of Anthropology,1035-8811,260,0.444,0.914,0.000510
11257,COSMIC RESEARCH,0010-9525,563,0.444,0.568,0.000510
11257,RATIONALITY AND SOCIETY,1043-4631,676,0.444,0.791,0.000530
11257,TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH,1596-5996,"1,550",0.444,0.735,0.002040
11264,Revista de Nutricao-Brazilian Journal of Nutrition,1415-5273,847,0.443,0.632,0.000500
11265,English Teaching-Practice and Critique,1175-8708,272,0.442,0.678,0.000290
11265,GLASGOW MATHEMATICAL JOURNAL,0017-0895,744,0.442,0.463,0.001630
11265,MODERN ASIAN STUDIES,0026-749X,975,0.442,0.657,0.001110
11265,TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,0549-3811,261,0.442,0.545,0.000480
11269,Sequential Analysis-Design Methods and Applications,0747-4946,347,0.441,0.634,0.000670
11270,DISSOLUTION TECHNOLOGIES,1521-298X,409,0.440,0.852,0.000220
11270,INTERNIST,0020-9554,402,0.440,0.317,0.000310
11272,ACTA BIOLOGICA HUNGARICA,0236-5383,458,0.439,0.581,0.000480
11272,FAMILY LAW QUARTERLY,0014-729X,182,0.439,0.321,0.000180
11272,ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH,0792-156X,459,0.439,0.456,0.000310
11272,JCPSP-Journal of the College of Physicians and Surgeons Pakistan,1022-386X,"1,488",0.439,0.489,0.001990
11272,RUSSIAN JOURNAL OF ECOLOGY,1067-4136,756,0.439,0.512,0.000610
11277,Industria Textila,1222-5347,190,0.438,0.458,0.000130
11277,Panoeconomicus,1452-595X,175,0.438,0.571,0.000200
11277,Philosophia Mathematica,0031-8019,217,0.438,0.582,0.000230
11277,Revista Chapingo Serie Ciencias Forestales y del Ambiente,0186-3231,169,0.438,0.526,0.000240
11277,Revista de Historia Economica,0212-6109,213,0.438,0.528,0.000250
11277,Revista de la Construccion,0718-915X,104,0.438,0.497,0.000090
11283,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,1542-3980,380,0.437,0.464,0.000470
11283,PSYCHOANALYTIC DIALOGUES,1048-1885,816,0.437,0.606,0.000850
11283,UROLOGE,0340-2592,622,0.437,0.299,0.000520
11286,CIENCIA FLORESTAL,0103-9954,755,0.436,0.654,0.000960
11286,POLISH JOURNAL OF ECOLOGY,1505-2249,645,0.436,0.691,0.000720
11286,REVSTAT-Statistical Journal,1645-6726,171,0.436,1.238,0.000710
11286,Trabajos de Prehistoria,0082-5638,354,0.436,0.621,0.000100
11290,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,197,0.435,0.784,0.000090
11290,ERNAHRUNGS UMSCHAU,0174-0008,152,0.435,0.336,0.000130
11290,Functions of Language,0929-998X,157,0.435,0.646,0.000150
11290,JOURNAL OF MINING SCIENCE,1062-7391,834,0.435,0.543,0.000760
11294,European Review,1062-7987,283,0.434,0.307,0.000210
11294,VETERINARNI MEDICINA,0375-8427,"1,324",0.434,0.764,0.001040
11294,ZOOSYSTEMA,1280-9551,461,0.434,0.679,0.000500
11297,Asian-Pacific Economic Literature,0818-9935,118,0.433,0.593,0.000150
11297,HIGH TEMPERATURE MATERIALS AND PROCESSES,0334-6455,387,0.433,0.436,0.000710
11297,Revue de Geographie Alpine-Journal of Alpine Research,0035-1121,205,0.433,0.433,0.000150
11300,Australian Economic Review,0004-9018,365,0.432,0.639,0.000580
11300,JOURNAL OF MEDICAL PRIMATOLOGY,0047-2565,765,0.432,0.689,0.000670
11300,METALLURGIA ITALIANA,0026-0843,236,0.432,0.388,0.000320
11300,POLYMER-KOREA,0379-153X,456,0.432,0.384,0.000250
11300,SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW,0038-0288,278,0.432,0.421,0.000150
11305,ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,0333-7308,560,0.431,0.872,0.000500
11305,ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,0333-7308,560,0.431,0.872,0.000500
11305,JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,1064-2269,"1,031",0.431,0.355,0.000830
11305,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,1741-7589,565,0.431,0.863,0.000640
11305,RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,0034-379X,316,0.431,0.528,0.000330
11305,Rhetoric Society Quarterly,0277-3945,197,0.431,0.534,0.000140
11311,CURRENT HISTORY,0011-3530,261,0.430,0.359,0.000440
11311,Iranian Studies,0021-0862,274,0.430,0.401,0.000330
11311,JOURNAL OF AVIAN MEDICINE AND SURGERY,1082-6742,518,0.430,0.623,0.000430
11314,INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,0147-5479,241,0.429,0.629,0.000560
11314,International Journal of Law Policy and the Family,1360-9939,222,0.429,0.648,0.000200
11314,Nuclear Technology & Radiation Protection,1451-3994,196,0.429,0.488,0.000290
11314,PROBUS,0921-4771,169,0.429,0.739,0.000090
11314,SEMINARS IN ROENTGENOLOGY,0037-198X,417,0.429,0.671,0.000380
11319,Quaestiones Mathematicae,1607-3606,359,0.428,0.616,0.001170
11320,CLINICAL DYSMORPHOLOGY,0962-8827,459,0.427,0.429,0.000410
11320,Cirugia y Cirujanos,0009-7411,313,0.427,0.339,0.000380
11320,Journal of Oil Palm Research,1511-2780,367,0.427,0.605,0.000330
11323,Asia Pacific Journal of Anthropology,1444-2213,194,0.426,0.624,0.000470
11323,POLITICAL SCIENCE QUARTERLY,0032-3195,"1,191",0.426,0.630,0.000400
11323,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,1054-7460,"1,590",0.426,0.833,0.000390
11323,Pflege,1012-5302,134,0.426,0.374,0.000100
11323,Pflege,1012-5302,134,0.426,0.374,0.000100
11323,Social Dynamics-A Journal of African Studies,0253-3952,322,0.426,0.507,0.000310
11323,Southern African Linguistics and Applied Language Studies,1607-3614,200,0.426,0.447,0.000300
11323,Text & Talk,1860-7330,380,0.426,0.724,0.000560
11331,INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,0334-0082,190,0.425,0.408,0.000180
11331,Journal of Modern Dynamics,1930-5311,200,0.425,0.680,0.001290
11331,Kyoto Journal of Mathematics,2156-2261,162,0.425,0.607,0.001580
11331,Malaysian Journal of Library & Information Science,1394-6234,171,0.425,0.510,0.000120
11335,Foundations of Chemistry,1386-4238,112,0.424,0.607,0.000140
11336,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,1370-1444,440,0.423,0.551,0.001480
11337,ACTA VETERINARIA BRNO,0001-7213,766,0.422,0.521,0.000600
11337,ADVANCED COMPOSITES LETTERS,0963-6935,112,0.422,0.317,0.000120
11337,BRITISH JOURNAL OF HOSPITAL MEDICINE,1750-8460,604,0.422,0.337,0.000930
11337,EUROPEAN HISTORY QUARTERLY,0265-6914,201,0.422,0.400,0.000260
11337,ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,1300-3615,108,0.422,0.376,0.000140
11342,Africa Spectrum,0002-0397,242,0.421,0.849,0.000420
11342,Journal of Thermal Science and Technology,1880-5566,226,0.421,0.698,0.000330
11342,Revista Caatinga,0100-316X,491,0.421,0.476,0.000720
11342,TAIWANIA,0372-333X,455,0.421,Not Available,0.000490
11346,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,489,0.420,0.638,0.000390
11346,ACTA CHIRURGICA BELGICA,0001-5458,909,0.420,0.498,0.000750
11346,COLLOQUIUM MATHEMATICUM,0010-1354,"1,113",0.420,0.535,0.002010
11346,Cold War History,1468-2745,222,0.420,0.587,0.000650
11346,ZENTRALBLATT FUR CHIRURGIE,0044-409X,756,0.420,0.487,0.000480
11351,Ambix,0002-6980,143,0.419,0.453,0.000230
11351,COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS,0010-1923,118,0.419,0.563,0.000240
11351,GAYANA,0717-6538,254,0.419,0.523,0.000270
11354,ENGLISH HISTORICAL REVIEW,0013-8266,723,0.418,0.607,0.000950
